date,quarter,milestone,run_rate_billions,daily_plays_billions,pct_ig_ad_inventory,pct_ig_time_spent,pct_advertisers_using,key_context
2020-08-05,Q3 2020,Launch,0,N/A,0,N/A,0,Reels launched on Instagram as TikTok competitor
2021-02-01,Q1 2021,Facebook expansion,N/A,N/A,N/A,N/A,N/A,Reels expanded to Facebook app
2021-06-01,Q2 2021,Ads launch,N/A,N/A,N/A,N/A,N/A,Reels Ads launched globally
2022-04-01,Q2 2022,Early monetization,N/A,140,N/A,N/A,N/A,140B daily plays; monetization efficiency below feed
2022-10-01,Q3 2022,$3B milestone,3,140,N/A,N/A,N/A,First public run rate; 50% play growth in 6 months
2023-02-01,Q1 2023,Efficiency improving,N/A,N/A,N/A,N/A,N/A,Zuckerberg notes Reels monetization efficiency improving
2023-07-01,Q2 2023,$10B milestone,10,200,N/A,N/A,75,Over 75% of advertisers now using Reels ads
2023-10-01,Q3 2023,Continued growth,N/A,200,N/A,N/A,N/A,Reels surpasses 200 billion daily views
2024-01-01,Q4 2023,200B views sustained,N/A,200,N/A,37,N/A,37% of time spent on IG is Reels (US)
2024-04-01,Q1 2024,Discovery surface,N/A,N/A,N/A,N/A,N/A,Reels becoming primary discovery surface
2024-07-01,Q2 2024,Feed parity,N/A,N/A,N/A,N/A,N/A,Reels ad monetization approaching feed parity
2024-10-01,Q3 2024,Ad share growing,N/A,N/A,19,N/A,N/A,Reels = 19% of Instagram ad impressions
2025-01-01,Q4 2024,35% inventory,N/A,N/A,35,N/A,N/A,Reels = 35% of Instagram ad inventory
2025-04-01,Q1 2025,Video surge,N/A,N/A,N/A,N/A,N/A,Video time on IG up 30%+ YoY
2025-07-01,Q2 2025,Majority of ads,N/A,N/A,50,46,N/A,50%+ of IG ads run on Reels; 46% of US IG time
2025-10-01,Q3 2025,$50B milestone,50,200,50,50,N/A,Zuckerberg announces $50B run rate; Reels = majority of IG time
